,,,,,
Date,Facebook Close,Tesla Close,Tilray Close,Amazon Close,Shopify Close
03/03/2015,79.6,39.91,22.39,384.61,25.68
04/03/2015,80.9,40.49,29.77,382.72,28.31
05/03/2015,81.21,40.13,29.45,387.83,29.65
06/03/2015,80.01,38.78,25.36,380.09,27.5
09/03/2015,79.44,38.18,26.49,378.56,27.45
10/03/2015,77.55,38.06,26.4,369.51,27.2
11/03/2015,77.57,38.75,24.3,366.37,27.33
12/03/2015,78.93,38.21,22.84,374.24,26.95
13/03/2015,78.05,37.74,22.1,370.58,27.44
16/03/2015,78.07,39.14,22.93,373.35,26.78
17/03/2015,79.36,38.95,23.87,371.92,27.39
18/03/2015,80.91,40.14,24.15,375.14,26.98
19/03/2015,82.75,39.13,24.84,373.24,28.34
20/03/2015,83.8,39.62,24.68,378.49,28.1
23/03/2015,84.43,39.93,24.74,375.11,30.73
24/03/2015,85.31,40.34,25.6,374.09,33.63
25/03/2015,82.92,38.86,25.82,370.96,35.5
26/03/2015,83.01,38.08,26.67,367.35,38.11
27/03/2015,83.3,37,24.25,370.56,38.63
30/03/2015,83.2,38.11,29.1,374.59,35.55
31/03/2015,82.22,37.75,29.27,372.1,35.52
01/04/2015,81.67,37.52,30.69,370.26,36.94
02/04/2015,81.56,38.2,35.9,372.25,35.43
06/04/2015,82.44,40.62,39.94,377.04,35.96
07/04/2015,82.32,40.65,39,374.41,34.84
08/04/2015,82.28,41.53,38.25,381.2,33.52
09/04/2015,82.17,42.02,43.86,383.54,31.32
10/04/2015,82.04,42.18,53.44,382.65,33.95
13/04/2015,83.01,41.96,51.5,382.36,31.11
14/04/2015,83.52,41.49,62.13,385.11,31.31
15/04/2015,82.71,41.57,59.07,383.45,30.53
16/04/2015,82.31,41.34,65.2,386.04,30.76
17/04/2015,80.78,41.36,77.01,375.56,29.19
20/04/2015,83.09,41.05,89.86,389.51,29.06
21/04/2015,83.62,41.88,80.1,391.18,29.6
22/04/2015,84.63,43.89,77.89,389.8,30.42
23/04/2015,82.41,43.72,84.5,389.99,30.86
24/04/2015,81.53,43.69,95.79,445.1,29.34
27/04/2015,81.91,46.31,104.95,438.56,29.39
28/04/2015,80.68,46.1,119.76,429.31,32.27
29/04/2015,80.47,46.49,109.05,429.37,33.75
30/04/2015,78.77,45.21,120.19,421.78,33.22
01/05/2015,78.99,45.21,154.98,422.87,32.14
04/05/2015,78.81,46.1,214.06,423.04,33.11
05/05/2015,77.56,46.59,176.35,421.19,33.57
06/05/2015,78.1,46.09,123,419.1,32.87
07/05/2015,78.43,47.36,99.5,426.88,34.06
08/05/2015,78.51,47.32,107.88,433.69,34.16
11/05/2015,78.01,47.9,114.5,432.85,38.13
12/05/2015,77.46,48.95,131.3,431.02,37.39
13/05/2015,78.44,48.64,143.62,426.87,40.36
14/05/2015,81.37,48.82,164.98,432.28,38.41
15/05/2015,80.42,49.77,138.17,426,38.45
18/05/2015,80.88,49.75,156.83,425.24,36.28
19/05/2015,80.63,49.43,145.57,421.71,35.16
20/05/2015,80.55,48.87,146.91,423.86,33.47
21/05/2015,80.48,49.12,140,431.63,35.14
22/05/2015,80.54,49.55,128.96,427.63,34.73
26/05/2015,79.33,49.49,136.8,425.47,35.31
27/05/2015,80.55,49.49,131.95,431.42,34.56
28/05/2015,80.15,50.29,148.3,426.57,34.41
29/05/2015,79.19,50.16,165.64,429.23,32.6
01/06/2015,80.29,49.89,158.38,430.92,31.1
02/06/2015,80.44,49.67,148.25,430.99,29.22
03/06/2015,82.44,49.8,152.53,436.59,27.77
04/06/2015,82.05,49.18,145.3,430.78,26.28
05/06/2015,82.14,49.83,122.6,426.95,26.93
08/06/2015,80.67,51.26,120.79,423.5,28.22
09/06/2015,80.67,51.2,109.29,425.48,28.51
10/06/2015,82.16,50.14,106.75,430.77,28
11/06/2015,81.83,50.28,108.08,432.97,27.54
12/06/2015,81.53,50.14,90.68,429.92,26.6
15/06/2015,80.71,50.08,90.1,423.67,26.7
16/06/2015,81.06,50.62,94.79,427.26,27.15
17/06/2015,81.79,52.08,98.98,427.81,26.81
18/06/2015,82.91,52.38,99.49,439.39,27.14
19/06/2015,82.51,52.5,100.98,434.92,26.01
22/06/2015,84.74,51.96,106.86,436.29,25.77
23/06/2015,87.88,53.53,139.6,445.99,26.36
24/06/2015,88.86,53.03,118.7,440.84,27.21
25/06/2015,87.98,53.76,108.99,440.1,28.11
26/06/2015,88.01,53.42,113.44,438.1,28.91
29/06/2015,85.8,52.4,111.55,429.86,35.55
30/06/2015,85.77,53.65,102.34,434.09,35.66
01/07/2015,86.91,53.83,107.27,437.39,34.83
02/07/2015,87.29,56,110.48,437.71,33.66
06/07/2015,87.55,55.94,106.77,436.04,33.5
07/07/2015,87.22,53.58,104,436.72,33.47
08/07/2015,85.65,50.99,109.31,429.7,33.91
09/07/2015,85.88,51.58,116.03,434.39,33.05
10/07/2015,87.95,51.83,114.14,443.51,33.64
13/07/2015,90.1,52.43,114,455.57,35.2
14/07/2015,89.68,53.13,110.88,465.57,35.07
15/07/2015,89.76,52.63,107.2,461.19,35.81
16/07/2015,90.85,53.34,102.45,475.48,36.76
17/07/2015,94.97,54.93,102.94,483.01,36.21
20/07/2015,97.91,56.45,100.26,488.1,37.33
21/07/2015,98.39,53.35,99,488,38.24
22/07/2015,97.04,53.57,100.25,488.27,37.02
23/07/2015,95.44,53.44,97.14,482.18,34.31
24/07/2015,96.95,53.08,94.07,529.42,33.12
27/07/2015,94.17,50.6,84.48,531.41,33.64
28/07/2015,95.29,52.96,75.52,526.03,34.14
29/07/2015,96.99,52.76,75.13,529,34.33
30/07/2015,95.21,53.36,65.89,536.76,33.36
31/07/2015,94.01,53.23,76.5,536.15,31.5
03/08/2015,94.14,52,71,535.03,31.95
04/08/2015,94.06,53.26,78.3,531.9,32.01
05/08/2015,96.44,54.03,74.87,537.01,31.66
06/08/2015,95.12,49.23,71.38,529.46,31.07
07/08/2015,94.3,48.5,71.5,522.62,31.04
10/08/2015,94.15,48.23,71.08,524,31.12
11/08/2015,93.62,47.47,75.15,527.46,31.59
12/08/2015,94.19,47.63,70.54,525.91,32.22
13/08/2015,93.43,48.5,70.46,529.66,30.96
14/08/2015,94.42,48.63,70,531.52,31.44
17/08/2015,93.93,51,69.95,535.22,31.75
18/08/2015,95.17,52.14,71.9,535.02,31.62
19/08/2015,95.31,51.05,83.26,532.92,31.54
20/08/2015,90.56,48.44,79.7,515.78,30.23
21/08/2015,86.06,46.15,80.4,494.47,28.59
24/08/2015,82.09,43.77,96,463.37,28.18
25/08/2015,83,44.01,100.15,466.37,28.86
26/08/2015,87.19,44.97,82.88,500.77,28.33
27/08/2015,89.73,48.6,85.61,518.37,27.35
28/08/2015,91.01,49.7,83.45,518.01,26.39
31/08/2015,89.43,49.81,77.2,512.89,28
01/09/2015,87.23,47.73,72.8,496.54,29.45
02/09/2015,89.89,49.54,71.74,510.55,28.23
03/09/2015,88.15,49.11,73.96,504.72,28.87
04/09/2015,88.26,48.39,75.35,499,26.95
08/09/2015,89.53,49.63,81.93,517.54,26.44
09/09/2015,90.44,49.78,79.06,516.89,26.71
10/09/2015,91.98,49.7,77.48,522.24,26.34
11/09/2015,92.05,50.05,80.49,529.44,26.28
14/09/2015,92.31,50.64,81.91,521.38,26.41
15/09/2015,92.9,50.71,83.07,522.37,26.83
16/09/2015,93.45,52.45,83.27,527.39,27.12
17/09/2015,94.34,52.41,78.15,538.87,26.88
18/09/2015,94.4,52.12,79.99,540.26,26.48
21/09/2015,95.55,52.84,79.24,548.39,24.81
22/09/2015,92.96,52.19,75.42,538.4,24.96
23/09/2015,93.97,52.21,75.94,536.07,24.76
24/09/2015,94.41,52.62,77.29,533.75,24.56
25/09/2015,92.77,51.38,76.62,524.25,25.36
28/09/2015,89.21,49.69,76.49,504.06,26.21
29/09/2015,86.67,49.33,77.03,496.07,26.53
30/09/2015,89.9,49.68,81.1,511.89,25.31
01/10/2015,90.95,47.98,79.2,520.72,24.45
02/10/2015,92.07,49.51,79.07,532.54,24.66
05/10/2015,94.01,49.23,77.39,543.68,24.92
06/10/2015,92.8,48.29,78.8,537.48,25.34
07/10/2015,92.4,46.39,79.3,541.94,24.84
08/10/2015,92.47,45.34,81.31,533.16,25.18
09/10/2015,93.24,44.14,79.51,539.8,25.98
12/10/2015,94.26,43.12,77.25,550.19,25.8
13/10/2015,94.12,43.85,76.89,548.9,25.72
14/10/2015,94.07,43.38,75.86,544.83,25.31
15/10/2015,95.96,44.26,69.72,562.44,25.3
16/10/2015,97.54,45.4,70,570.76,24.67
19/10/2015,98.47,45.62,70,573.15,24.93
20/10/2015,97,42.61,72.15,560.88,23.87
21/10/2015,97.11,42.02,71.8,555.77,23.74
22/10/2015,99.67,42.34,72.29,563.91,21.38
23/10/2015,102.19,41.82,72.5,599.03,20.64
26/10/2015,103.77,43.05,72.24,608.61,19.89
27/10/2015,103.7,42.07,69.79,611.01,20.3
28/10/2015,104.2,42.59,70.73,617.1,20.53
29/10/2015,104.88,42.33,70.25,626.55,22.79
30/10/2015,101.97,41.39,67.16,625.9,23.07
02/11/2015,103.31,42.76,67.78,628.35,23.13
03/11/2015,102.58,41.67,66.95,625.31,23.09
04/11/2015,103.94,46.33,64.85,640.95,22
05/11/2015,108.76,46.35,65.94,655.65,22.5
06/11/2015,107.1,46.47,65.52,659.37,23.22
09/11/2015,106.49,45.07,63.01,655.49,23.53
10/11/2015,107.91,43.3,63.73,659.68,22.62
11/11/2015,109.01,43.82,63.38,673.25,23
12/11/2015,108.02,42.59,61.09,665.6,23.48
13/11/2015,103.95,41.44,59.54,642.35,21.87
16/11/2015,104.04,42.86,56.68,647.81,20.38
17/11/2015,105.13,42.8,56.42,643.3,19.85
18/11/2015,107.77,44.21,57.05,663.54,19.97
19/11/2015,106.26,44.36,53.52,661.27,19.37
20/11/2015,107.32,44,52.91,668.45,19.33
23/11/2015,106.95,43.55,49.24,678.99,20.5
24/11/2015,105.74,43.65,50.16,671.15,22.37
25/11/2015,105.41,45.93,50.68,675.34,20.59
